ts,avail_mb,used_mb,ovms_ws_mb,python_ws_mb_total,cpu_pct
12:35:11,4982,27093,11045,54,38
12:35:17,4985,27090,11045,54,29
12:35:22,4988,27087,11043,54,19
12:35:27,4983,27092,11043,54,18
12:35:33,4989,27086,11043,54,14
12:35:38,4991,27084,11043,54,17
12:35:43,4986,27090,11043,54,16
12:35:49,4987,27088,11043,54,17
12:35:54,4998,27077,11043,54,19
12:35:59,4995,27080,11043,54,20
12:36:05,5001,27075,11043,54,14
12:36:10,4991,27084,11043,54,16
12:36:15,4998,27078,11043,54,13
12:36:21,4997,27078,11043,54,28
12:36:26,4993,27083,11043,54,16
12:36:31,4992,27083,11043,54,13
12:36:37,4996,27079,11043,54,16
12:36:42,4997,27079,11043,54,18
12:36:47,4997,27079,11043,54,19
12:36:53,4997,27079,11043,54,18
12:36:58,5000,27075,11043,54,13
12:37:03,5003,27072,11043,54,22
12:37:09,4998,27077,11043,54,18
12:37:14,4969,27107,11043,54,17
12:37:19,4974,27101,11043,54,18
12:37:25,4977,27098,11043,54,19
12:37:30,4973,27102,11043,54,20
12:37:35,4969,27106,11043,54,21
12:37:41,4976,27099,11043,54,14
12:37:46,4976,27099,11043,54,19
12:37:51,4976,27099,11043,54,21
12:37:57,4978,27097,11043,54,19
12:38:02,4986,27090,11043,54,13
12:38:07,4988,27088,11043,54,17
12:38:13,4999,27077,11043,54,22
12:38:18,5009,27066,11043,54,13
12:38:23,5011,27064,11043,54,25
12:38:29,5013,27063,11043,54,14
12:38:34,5010,27065,11043,54,15
12:38:39,5011,27064,11043,54,15
12:38:45,5005,27070,11043,54,14
12:38:50,5012,27063,11043,54,14
12:38:55,5011,27064,11043,54,27
12:39:01,5006,27070,11043,54,15
12:39:06,5009,27066,11043,54,20
12:39:11,5012,27063,11043,54,15
12:39:17,5008,27067,11043,54,17
12:39:22,5011,27064,11043,54,14
12:39:27,5012,27063,11043,54,18
12:39:33,5012,27063,11043,54,13
12:39:38,5012,27063,11043,54,18
12:39:43,5011,27064,11043,54,15
12:39:49,5012,27063,11043,54,15
12:39:54,4993,27082,11043,54,31
12:39:59,4992,27083,11043,54,16
12:40:05,4987,27088,11043,54,28
12:40:10,4995,27080,11043,54,14
12:40:15,4986,27089,11043,54,18
12:40:21,4992,27083,11043,54,16
12:40:26,4994,27081,11043,54,18
12:40:31,4991,27084,11043,54,15
12:40:37,4997,27078,11043,54,21
12:40:42,4992,27083,11043,54,17
12:40:47,4988,27087,11043,54,15
12:40:52,4985,27091,11043,54,15
12:40:58,4989,27086,11041,54,20
12:41:03,4972,27103,11041,55,18
12:41:08,4974,27101,11041,55,37
12:41:14,4964,27111,11049,55,22
12:41:19,4771,27304,11049,54,27
12:41:24,4803,27273,11053,55,23
12:41:30,4789,27286,11053,55,23
12:41:35,4792,27283,11053,55,19
12:41:40,4792,27283,11053,55,21
12:41:46,4797,27279,11054,55,16
12:41:51,4805,27270,11054,55,23
12:41:56,4798,27278,11054,55,19
12:42:02,4780,27295,11054,55,20
12:42:07,4790,27285,11054,55,27
12:42:12,4806,27270,11054,55,20
12:42:18,4798,27278,11054,55,24
12:42:23,4796,27279,11054,55,31
12:42:28,4798,27278,11054,55,16
12:42:33,4787,27288,11061,55,16
12:42:39,4782,27293,11061,55,16
12:42:44,4777,27298,11068,55,16
12:42:50,4786,27289,11064,55,14
12:42:55,4794,27281,11064,55,14
12:43:00,4791,27284,11064,55,17
12:43:05,4791,27284,11064,55,18
12:43:11,4797,27278,11064,55,13
12:43:16,4790,27285,11064,55,20
12:43:21,4791,27284,11064,55,16
12:43:27,4797,27279,11064,55,19
12:43:32,4793,27282,11064,55,26
12:43:38,4795,27280,11064,55,13
12:43:43,4798,27278,11064,55,25
12:43:48,4790,27286,11065,55,18
12:43:54,4795,27280,11065,55,25
12:43:59,4794,27282,11065,55,19
12:44:04,4790,27285,11065,55,24
12:44:10,4794,27282,11065,55,16
12:44:15,4795,27281,11065,55,18
12:44:21,4811,27264,11065,55,14
12:44:26,4778,27298,11065,55,23
12:44:31,4788,27287,11065,55,16
12:44:37,4781,27294,11070,55,14
12:44:42,4784,27291,11070,55,16
12:44:48,4781,27294,11070,55,14
12:44:53,4781,27294,11070,55,15
12:44:58,4786,27289,11070,55,14
12:45:04,4772,27303,11070,55,17
12:45:09,4774,27301,11070,55,19
12:45:14,4767,27309,11076,55,17
12:45:20,4769,27306,11076,55,15
12:45:25,4780,27295,11076,55,15
12:45:30,4785,27290,11076,55,21
12:45:36,4788,27288,11076,55,16
12:45:41,4789,27287,11076,55,16
